Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
MIR3945HG,100.4715402,-3.390836037,0.762434868,-4.447377969,8.69E-06,0.001122099
OAS3,1511.41104,-1.740632808,0.395347254,-4.402794737,1.07E-05,0.001260886
ENTPD1,161.6813322,-1.897746801,0.431266349,-4.400405465,1.08E-05,0.001260886
CXCL8,1936.120761,-3.345578006,0.759408564,-4.40550471,1.06E-05,0.001260886
S100A9,9568.478417,-3.256836177,0.74602805,-4.36556799,1.27E-05,0.001437586
MS4A6A,109.8918406,-3.778158729,0.878746515,-4.299486445,1.71E-05,0.001783723
PLAUR,767.0370681,-2.632466134,0.616261842,-4.271668234,1.94E-05,0.0019253
KNSTRN,120.9345107,-1.868813259,0.437490899,-4.271662025,1.94E-05,0.0019253
CDKN1A,1161.504977,-1.012797965,0.240348823,-4.213866961,2.51E-05,0.002309228
RAB20,190.9020907,-1.161828904,0.275206606,-4.221660665,2.43E-05,0.002309228
ENSG00000236327,20.4530304,-1.828715236,0.433900729,-4.2145936,2.50E-05,0.002309228
LGALS9,92.6500076,-1.644276056,0.393458042,-4.179037867,2.93E-05,0.002511924
FCER1G,1127.387098,-1.928988215,0.462696121,-4.169017476,3.06E-05,0.002594413
HERC6,3385.041619,-1.04502083,0.252103042,-4.145213095,3.39E-05,0.002782166
MARCKS,163.6837947,-3.135075274,0.758959431,-4.130754747,3.62E-05,0.002908649
ZNF497,27.814855,-1.805972568,0.437739634,-4.125677525,3.70E-05,0.002946454
S100A8,9593.292256,-3.177134241,0.775107453,-4.098959738,4.15E-05,0.003169512
LY6E,3352.485593,-1.309971441,0.319752468,-4.096829803,4.19E-05,0.003182143
IL1R2,326.5681625,-3.736838867,0.913976814,-4.088548865,4.34E-05,0.003280791
CLIC4,523.6332293,-1.469404922,0.360232659,-4.079044155,4.52E-05,0.003400218
PPP1R37,48.13818622,-1.191595224,0.29344305,-4.060737589,4.89E-05,0.003622162
IFI44L,875.6184919,-2.817803688,0.694231373,-4.058882667,4.93E-05,0.003632611
QPCT,322.4840616,-1.760335249,0.434006144,-4.056014584,4.99E-05,0.003659002
PROK2,675.2526364,-3.186982156,0.790974336,-4.029185286,5.60E-05,0.003944162
RSAD2,1592.642841,-2.05740604,0.511302929,-4.023849508,5.73E-05,0.003993574
ENSG00000231412,57.05005752,-4.007237743,0.999672348,-4.008551154,6.11E-05,0.004183678
SGO1,63.55466888,-1.882369133,0.470838079,-3.997911843,6.39E-05,0.004335646
SUSD4,396.535116,-1.447201032,0.362953681,-3.987288479,6.68E-05,0.004492577
DSE,120.0179541,-1.719902499,0.431673323,-3.984268671,6.77E-05,0.004529214
RASAL1,82.08535453,-2.76556674,0.696680515,-3.969634116,7.20E-05,0.004700003
IQCD,43.51734151,-1.999231475,0.503846001,-3.967941538,7.25E-05,0.004700003
FPR1,917.8355767,-3.335078246,0.839626198,-3.972098838,7.12E-05,0.004700003
LAMP3,508.219472,-2.786839344,0.703978676,-3.958698521,7.54E-05,0.004859289
TYROBP,388.177463,-1.580994496,0.400702585,-3.945556016,7.96E-05,0.00495404
SLC29A2,333.8480934,-1.020596548,0.258648424,-3.945883495,7.95E-05,0.00495404
MSRB1,547.5923717,-1.147985023,0.291444284,-3.938951918,8.18E-05,0.004994877
MX1,11393.88332,-1.306038521,0.334383971,-3.905804799,9.39E-05,0.005479595
IL1RN,3867.447598,-3.345373775,0.857587774,-3.900911227,9.58E-05,0.005525261
PPIAP30,18.67033225,-2.374572479,0.609920101,-3.893251713,9.89E-05,0.005658007
CCL2,90.78152398,-3.163929363,0.815276487,-3.880805364,0.000104111,0.005891252
LST1,316.1564233,-1.262604089,0.325362988,-3.880601473,0.000104198,0.005891252
ENSG00000248466,54.68732262,-1.946358363,0.502036024,-3.876929683,0.000105783,0.005957743
TNF,205.4232075,-1.423951591,0.367423719,-3.875502638,0.000106405,0.00596972
CLEC4E,182.702793,-3.670420473,0.947758574,-3.872737818,0.00010762,0.006014739
CLEC4D,99.21872445,-3.931417528,1.016593211,-3.867247474,0.000110071,0.006104949
ZNF32-AS2,27.57941859,-1.820494108,0.474922577,-3.833243979,0.000126464,0.006832357
OSM,539.0644902,-2.836441604,0.743411836,-3.815437776,0.000135942,0.007210843
CREB5,61.4306204,-3.932435196,1.030446469,-3.816244042,0.000135498,0.007210843
SLC15A3,140.3381828,-1.336923477,0.353275694,-3.784363032,0.000154103,0.007805197
ENSG00000231731,20.21746886,-2.188071135,0.578109747,-3.784871551,0.000153788,0.007805197
MXD1,598.8879023,-1.210116156,0.320323716,-3.777791321,0.000158225,0.007986275
ARL11,133.2770147,-1.949188828,0.516425362,-3.774386332,0.000160402,0.008040496
IRF8,214.0678818,-1.181954278,0.313483886,-3.770382887,0.000162997,0.008142607
CCL4,1375.609492,-2.322617596,0.616218349,-3.769147092,0.000163806,0.008155096
S100A12,1156.796903,-3.296895611,0.877937082,-3.755275496,0.000173151,0.008504217
ENSG00000264577,28.07181034,-1.992970815,0.531793119,-3.747643107,0.000178504,0.008650624
SRC,49.53591385,-3.45670824,0.931276326,-3.711796534,0.000205793,0.0096215
FOS,1256.46621,-1.659836652,0.447480227,-3.709296078,0.000207836,0.00965512
NQO1,65.96716858,-1.988133001,0.536977663,-3.702450099,0.000213527,0.009814601
HEXIM2,43.58752026,-1.372775815,0.372828257,-3.682059473,0.000231357,0.01044833
TNFAIP6,196.365989,-3.165472282,0.860102047,-3.680345015,0.000232919,0.010486369
CCRL2,100.298582,-3.379980839,0.922150348,-3.665325125,0.000247025,0.010985815
LINC00381,64.45284013,-1.47843386,0.404953222,-3.650875661,0.000261348,0.01148277
MKRN3,79.40072162,-1.073078891,0.295100277,-3.636319493,0.000276561,0.011886826
ENSG00000286177,130.2384159,-1.182819036,0.32559562,-3.63278547,0.000280378,0.011934968
HERC5,1916.256722,-1.099029716,0.302697343,-3.630787456,0.000282558,0.011981601
USF1,67.05635589,-1.105302948,0.304698622,-3.627528539,0.000286147,0.012098633
SIK2,111.0369327,-1.182646123,0.327331862,-3.612988108,0.000302689,0.012381306
FAM32BP,19.76812123,-2.145821797,0.597938655,-3.588698908,0.000332332,0.013177899
ENSG00000256712,20.56810458,-2.283134475,0.638809483,-3.574045996,0.000351507,0.013673159
ARG1,113.1206804,-3.543561614,0.994545132,-3.562997293,0.000366644,0.014000635
PIWIL4,64.52576222,-2.344919438,0.659588474,-3.555124948,0.0003778,0.014270801
SPI1,311.9736161,-3.017734908,0.851844278,-3.542589868,0.000396218,0.014669131
CEACAM1,108.8392111,-1.598914475,0.452027452,-3.537206577,0.000404383,0.014783805
CCL3,317.0316481,-2.459687057,0.697819541,-3.524818254,0.000423773,0.015225574
TMEM9B-AS1,73.72573992,-1.04831054,0.299416633,-3.501176701,0.000463209,0.016126072
GSEC,83.17236226,-1.978853167,0.56662604,-3.492344204,0.000478801,0.016433571
ARG2,167.8412974,-1.048995809,0.300953353,-3.485576082,0.000491079,0.016664871
TICAM2-AS1,54.00517657,-1.237806325,0.355132084,-3.485481549,0.000491252,0.016664871
RAB31,236.2933872,-2.932955602,0.843048734,-3.47898702,0.000503313,0.016994968
PRDM11,65.70216339,-1.250160201,0.361594242,-3.457356499,0.000545503,0.018002823
SEC14L1P1,147.1646981,-1.238526054,0.358653986,-3.453261647,0.000553852,0.018080179
MIR223HG,92.97056282,-2.798978508,0.813075559,-3.442458055,0.000576453,0.018480711
PLEK,1520.862432,-1.86790584,0.544133339,-3.432809032,0.000597363,0.019067242
CHRNA6,546.7235358,-1.602017424,0.467358875,-3.427809999,0.000608471,0.019295149
GMPR,38.02474086,-1.859555398,0.547022644,-3.399412106,0.000675309,0.020745274
MPP7-DT,31.04920609,-1.655591916,0.491736658,-3.366826307,0.000760386,0.022498469
PELATON,234.2426908,-2.525704167,0.751170388,-3.362358535,0.000772797,0.022794892
KRT23,88.96312809,-3.792459334,1.128256211,-3.361345851,0.000775636,0.022810903
SETD1A,91.96705022,-1.211580191,0.360638226,-3.359544561,0.000780711,0.02288751
S100P,154.0289929,-1.914339464,0.570960919,-3.352837994,0.000799875,0.023242586
C5AR1,118.4094293,-2.221239455,0.663874065,-3.345874726,0.000820234,0.023414403
TRAJ50,28.48312411,-1.377977448,0.411786097,-3.346342817,0.000818851,0.023414403
FZD3,205.5605213,-1.20867626,0.361898243,-3.339823513,0.000838316,0.023837275
GLT1D1,78.65493194,-3.771578901,1.131932019,-3.33198358,0.000862293,0.024188989
CEBPD,456.8816403,-1.055720812,0.318895324,-3.310555954,0.000931108,0.025593484
LILRA6,44.47468343,-2.952166109,0.893212542,-3.305110454,0.00094939,0.025982643
TNFSF13B,671.0744307,-1.07060247,0.324333971,-3.300926094,0.000963663,0.026225647
SEMA6A-AS1,23.29218374,-1.788089808,0.541609165,-3.301439346,0.000961901,0.026225647
BST1,66.58053107,-2.717720073,0.827320602,-3.28496603,0.001019947,0.027442846
STXBP2,238.3035346,-1.301140259,0.398234622,-3.267270566,0.001085898,0.028643762
ARHGEF40,39.37301328,-2.460270697,0.752810157,-3.268115706,0.001082661,0.028643762
SPATS2L,225.2742249,-1.637433778,0.501377243,-3.265871758,0.001091277,0.028733667
SGPP2,33.7654196,-2.24116566,0.686736224,-3.2635029,0.001100441,0.028773475
RNU6-565P,16.72714067,-1.133009443,0.347748773,-3.258126358,0.001121505,0.029057526
JUP,42.26280951,-3.141208397,0.964791536,-3.255841578,0.001130568,0.029137098
ANKRD22,52.02735201,-2.745915303,0.844516976,-3.251462531,0.001148129,0.029433671
PSPH,207.1493719,-1.102623294,0.339856894,-3.244375247,0.001177086,0.029861128
NEFM,20.96078571,-2.156196859,0.665827082,-3.238373622,0.001202133,0.030285854
P2RY14,66.04892358,-2.895736857,0.895389409,-3.23405306,0.001220468,0.030470581
FCGR2A,253.4524102,-2.778450822,0.861275542,-3.225972046,0.001255456,0.030882528
ENSG00000225889,219.2522575,-1.423454462,0.442807513,-3.214612266,0.001306208,0.031862307
TESC,23.05701598,-2.876519392,0.895338354,-3.21277356,0.001314599,0.031906912
ENSG00000286082,30.06633683,-1.64813996,0.515291334,-3.198462406,0.001381625,0.033147649
ATAT1,72.45138425,-1.425326114,0.449799025,-3.168806589,0.001530662,0.035976538
KCTD11,54.93620876,-1.984727136,0.626367827,-3.168628801,0.001531599,0.035976538
ACRBP,19.16550104,-2.814304018,0.888626071,-3.167028414,0.001540053,0.035992383
ENSG00000259922,26.25936426,-2.612905141,0.8266225,-3.160941228,0.001572602,0.036411983
KCNJ15,99.89282645,-2.521542664,0.80293719,-3.140398398,0.001687182,0.037872475
CXCR1,211.6753873,-3.48863598,1.111124167,-3.139735489,0.001691004,0.037872475
ENSG00000249679,18.42592343,-2.63390999,0.840294571,-3.134507922,0.001721426,0.038336552
PLSCR1,1181.102649,-1.044226557,0.335235474,-3.114904707,0.001840043,0.040001064
ZNF396,56.69809566,-2.227962986,0.715867026,-3.112258148,0.001856621,0.04018179
KYNU,44.12538352,-2.403835482,0.776350891,-3.096326044,0.001959348,0.041785099
SEMA4A,81.05040441,-3.486793646,1.127170708,-3.093403352,0.00197875,0.04190597
CD24,24.35951479,-2.935626705,0.949902164,-3.090451645,0.001998523,0.041967967
CD248,206.5678651,-1.470446029,0.476391656,-3.086632629,0.002024376,0.042185107
LAG3,216.5445715,-1.045075681,0.339293005,-3.080156876,0.002068916,0.042776733
TREM1,186.9848188,-3.062947133,0.994525139,-3.079808656,0.002071336,0.042776733
FKBP2,18.82292571,-1.170534304,0.381231298,-3.070404532,0.00213769,0.04367295
GK,310.093639,-1.199797832,0.391826708,-3.062062404,0.002198176,0.044349649
MSMB,77.72690661,-2.750677691,0.898532803,-3.061299134,0.002203788,0.044401458
CST3,48.63196398,-1.871060846,0.611986203,-3.057357892,0.002232975,0.044679287
NCF4,215.8321047,-2.500207231,0.819489893,-3.050931139,0.002281329,0.045248253
CCL3L1,417.5164573,-2.76525102,0.906837378,-3.049335072,0.002293485,0.04527073
PEAK3,24.89565897,-1.693644484,0.556227836,-3.044875453,0.002327767,0.045582204
FADS3,158.5484369,-1.002733488,0.330338238,-3.035475079,0.002401571,0.046399618
LYZ,114.8260965,-2.011880213,0.663273619,-3.033258305,0.002419284,0.046503251
EPM2A,276.8626909,-1.024516684,0.338073075,-3.030459267,0.002441821,0.046743892
RSPH9,59.57246113,-1.057925639,0.349929458,-3.023254013,0.002500722,0.047746123
FCGR1A,48.79003933,-3.010190037,0.997160603,-3.0187615,0.002538103,0.04808221
CXCL1,248.4154325,-2.639942576,0.876628738,-3.011471631,0.002599847,0.048759772
RHEBL1,47.26426593,-1.468600935,0.487810057,-3.010599955,0.002607321,0.048759772
CD101,205.277317,-1.424045628,0.474450738,-3.00146151,0.00268687,0.049758836
STAG3L5P-PVRIG2P-PILRB,17.69179817,-1.012140423,0.337152951,-3.002021545,0.002681932,0.049758836
