Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
IQCD,43.5181425,-2.614858761,0.639757885,-4.087263045,4.36E-05,0.0020826
FCAR,98.81816473,-3.938302937,0.963727445,-4.086531888,4.38E-05,0.002083116
EML4-AS1,20.04261573,-2.094236865,0.512588805,-4.085607887,4.40E-05,0.002085379
CYP2F1,25.79745097,-5.578930675,1.367518119,-4.079602747,4.51E-05,0.002109502
MTND1P23,70.87177216,-3.442459755,0.853106496,-4.035205182,5.46E-05,0.002433165
QPCT,322.4750127,-2.236268818,0.555518886,-4.025549579,5.68E-05,0.002501218
CLEC7A,38.196053,-5.851285629,1.461215998,-4.004394721,6.22E-05,0.002671472
TLR4,31.72005172,-5.784504655,1.448164296,-3.994370439,6.49E-05,0.002743948
ENSG00000231731,20.21739313,-2.890565529,0.724176065,-3.991523154,6.57E-05,0.002755801
EGR2,51.34254031,-3.037721083,0.761670443,-3.988235478,6.66E-05,0.002787136
DHRS9,47.54931273,-8.22799978,2.064429788,-3.985604078,6.73E-05,0.002811036
CST3,48.62883228,-3.098681797,0.77955094,-3.974957425,7.04E-05,0.002917529
FPR1,917.7914866,-4.258612041,1.07472058,-3.962529538,7.42E-05,0.003016197
SIRPB1,90.2885524,-2.661200193,0.672574913,-3.956734247,7.60E-05,0.003071631
MXRA8,12.84161009,-3.831640436,0.969465765,-3.952321552,7.74E-05,0.003112702
TRIM34,10.43072376,-2.707341924,0.698958107,-3.873396555,0.000107329,0.003871627
CXCL1,248.3942334,-4.308548101,1.120700017,-3.844515068,0.000120791,0.004209222
S100P,154.0226407,-2.784167768,0.729977763,-3.814044629,0.000136711,0.004607462
CLEC4E,182.6970815,-4.612775801,1.211200009,-3.808434419,0.000139849,0.004684385
RARA-AS1,19.97062597,-3.54075623,0.93091788,-3.803510821,0.00014266,0.004739827
TREM1,186.9728945,-4.825884156,1.271111313,-3.796586581,0.000146702,0.004834984
CA14,42.83877502,-2.139461778,0.565463626,-3.783553317,0.000154605,0.005001417
ESCO2,24.83156522,-3.82324629,1.010574269,-3.783241279,0.000154799,0.005001417
MPHOSPH10P1,40.21412442,-4.948263449,1.320300965,-3.747829913,0.000178371,0.005587033
MEFV,24.65827465,-4.614057796,1.234843959,-3.736551298,0.000186561,0.005772924
EGR1,58.86103637,-3.011495562,0.807880083,-3.727651695,0.000193272,0.005929303
FAHD2B,264.5977025,-2.050589701,0.552531517,-3.711262867,0.000206228,0.006198498
PELATON,234.2276916,-3.545334456,0.960565711,-3.690881753,0.000223478,0.006568338
KRT23,88.95820957,-5.291826368,1.440694714,-3.673107367,0.000239619,0.0068848
GLT1D1,78.64713746,-5.289220838,1.445720993,-3.658534991,0.000253661,0.007092572
CCL3L1,417.4664371,-4.245690954,1.160094664,-3.659779746,0.000252432,0.007092572
CD24,24.35835117,-4.413044345,1.207114757,-3.655861481,0.00025632,0.00711449
MARCKS,163.6732663,-3.545380842,0.969685196,-3.656218385,0.000255963,0.00711449
ENSG00000258843,21.25271551,-2.012209257,0.552676491,-3.640844672,0.000271745,0.007359986
INSYN2B,19.80071738,-2.948109759,0.81167976,-3.632109492,0.000281114,0.007588685
ENSG00000271789,14.48010804,-2.871249289,0.793964665,-3.616343919,0.000298793,0.007922609
FAM13A-AS1,35.23557694,-2.025958639,0.560622688,-3.613764982,0.000301783,0.007978957
LILRA6,44.47289109,-4.104165374,1.137584314,-3.607790056,0.000308816,0.008058188
TFF3,60.33821597,-3.639708763,1.009546536,-3.605290724,0.000311804,0.008097522
ENSG00000288819,21.46781664,-3.247187391,0.901251532,-3.602975725,0.000314595,0.008131412
FOSL1,29.29967336,-4.185378936,1.16600185,-3.589513118,0.000331296,0.008474638
MS4A7,25.49962017,-4.402694261,1.23615884,-3.561592669,0.000368612,0.008989641
CXCR1,211.6622587,-5.029813836,1.420594245,-3.540640725,0.000399157,0.009580001
ARG1,113.1213861,-4.500641943,1.271309219,-3.540163068,0.00039988,0.009581355
ENSG00000279407,22.46319722,-2.870492194,0.811562898,-3.536992881,0.000404711,0.009626833
RPS15AP16,10.54556276,-2.476422233,0.700370677,-3.535873666,0.000406429,0.009639768
COP1-DT,25.82079116,-2.340194312,0.664102112,-3.523847116,0.00042533,0.009938076
RAB31,236.2784989,-3.796396753,1.078199,-3.521053861,0.000429835,0.009992757
RGS18,71.2416997,-3.628584422,1.031028124,-3.519384524,0.000432549,0.010027446
APOBEC3A,157.5005753,-4.384591509,1.246448183,-3.517668499,0.000435356,0.010070245
IGSF6,251.7665975,-2.225710869,0.633271675,-3.514622486,0.00044038,0.010165892
SPI1,311.9541477,-3.818861932,1.089849917,-3.50402553,0.000458281,0.010417968
FCGR1BP,12.82050776,-4.581947772,1.307226692,-3.505090434,0.000456452,0.010417968
CYP27A1,34.54672289,-4.579074515,1.307381639,-3.502477302,0.000460953,0.010449755
IFIT3,3604.816679,-2.041159178,0.583669732,-3.497113292,0.000470322,0.010647442
NCF4,215.8155477,-3.662253663,1.048148963,-3.494020213,0.000475805,0.010662727
TMTC2,22.69116154,-2.351899608,0.672910734,-3.495113823,0.00047386,0.010662727
LINC02207,19.65488133,-5.554131484,1.595736157,-3.480607655,0.000500278,0.011036369
LRRC19,21.9394201,-2.654631014,0.762898467,-3.479664892,0.000502041,0.011060408
BASP1,625.7604351,-3.351090227,0.96399205,-3.476263342,0.000508453,0.011172184
ENSG00000256981,45.67055999,-2.017411621,0.580444084,-3.475634738,0.000509646,0.011182912
ENSG00000232811,12.98952026,-3.208908351,0.925094315,-3.468736428,0.000522912,0.011428173
ENSG00000287403,13.21716299,-2.952978827,0.855138299,-3.453217838,0.000553941,0.011822941
PRR4,9.45326853,-2.792651745,0.809005156,-3.451957906,0.000556535,0.011862859
PGLYRP1,102.8455768,-4.346517015,1.263843361,-3.439126357,0.000583595,0.012285306
SLC11A1,139.0959059,-3.033282533,0.887825376,-3.416530564,0.000634245,0.01285452
LPCAT2,14.74606117,-5.066872045,1.494702885,-3.389885773,0.000699218,0.013744021
ENSG00000279476,18.5794853,-3.804841482,1.122971421,-3.388190841,0.000703553,0.013812697
CD248,206.5581502,-2.060313649,0.60957859,-3.379898316,0.000725127,0.014168454
GMPR,38.02400989,-2.344555098,0.696072219,-3.368264145,0.000756431,0.014503855
TPPP3,23.6151813,-4.325367063,1.287765201,-3.358816545,0.00078277,0.014852724
PGAM1P7,16.1256021,-4.055697765,1.208755315,-3.355267782,0.000792882,0.014975341
CDA,138.6994158,-2.973793618,0.886433617,-3.354784342,0.000794269,0.014984291
FPR2,99.02210742,-4.234723222,1.262854872,-3.35329365,0.000798559,0.015047939
CCL20,50.24900471,-3.071751217,0.921051593,-3.33504794,0.000852847,0.015816697
ENSG00000231476,16.35721563,-2.913009756,0.880894542,-3.306876835,0.000943424,0.017012836
WFDC2,45.49737142,-3.379129719,1.024479024,-3.298388389,0.000972415,0.017345908
KCNJ15,99.88893972,-3.360160808,1.026893876,-3.272159749,0.001067293,0.018556644
IRAG1,25.2447407,-4.411809442,1.349523929,-3.269159847,0.001078673,0.018695108
TXLNB,33.72783626,-3.579496136,1.102413735,-3.246962572,0.001166437,0.019870555
ANXA3,209.0104766,-3.585851945,1.110786116,-3.228210989,0.001245671,0.020956172
LYZ,114.8161565,-2.726947948,0.84769381,-3.216902041,0.001295828,0.021526752
GSEC,83.16919035,-2.319254932,0.722659336,-3.209333659,0.00133043,0.021902054
KRT17,84.17937122,-5.120936465,1.598122489,-3.204345411,0.0013537,0.022218272
CEACAM3,34.48329021,-4.174789277,1.304131677,-3.201202264,0.001368554,0.022417247
ENSG00000286791,13.41755618,-2.242654999,0.702251667,-3.193520362,0.001405494,0.022817049
S100A9,9567.933661,-3.044743315,0.955318818,-3.187148893,0.001436828,0.023128215
PYGL,118.6956161,-4.001023581,1.262321733,-3.169575138,0.00152662,0.023920466
H1-5,15.53035382,-3.262439277,1.030277213,-3.166564527,0.001542511,0.024020148
ENSG00000277007,9.732478341,-3.376972762,1.068040869,-3.16183852,0.001567765,0.024357974
SIRPA,38.09298538,-3.583370715,1.141011557,-3.140520964,0.001686476,0.025722899
SHMT1P1,12.93124288,-2.820687365,0.899099075,-3.137237534,0.001705479,0.025822902
HECW2,13.64692773,-3.65309303,1.168841304,-3.125396936,0.001775653,0.02647029
ABRA,27.31622144,-2.874213278,0.920736648,-3.121645353,0.001798434,0.026712855
TSPAN1,46.27080823,-4.880414403,1.564971644,-3.118532162,0.001817543,0.026884797
FCGR2A,253.4334315,-3.422038023,1.101817811,-3.105811132,0.001897579,0.027733713
MSMB,77.72455936,-3.562335609,1.149286676,-3.099605768,0.001937784,0.027923481
CLEC4D,99.21489759,-4.019846646,1.298530497,-3.095689053,0.001963562,0.028195919
ATP11A-AS1,19.8418235,-3.041666883,0.987050243,-3.081572499,0.002059103,0.029134536
PLN,21.13243129,-3.259638603,1.060160958,-3.074663879,0.002107399,0.029537781
MIR4435-2HG,24.26986818,-2.127805332,0.692152473,-3.07418584,0.002110779,0.029559911
SLC44A4,16.11350515,-3.174015826,1.033248384,-3.071880756,0.002127147,0.029645952
REPS2,28.97206801,-3.526947497,1.149625112,-3.067910973,0.002155608,0.029899455
CREB5,61.43069548,-3.996337157,1.303228466,-3.066490075,0.00216588,0.029933123
B3GNT7,10.97628137,-2.098907935,0.68545135,-3.062081556,0.002198036,0.030138979
CHN1,96.72303612,-2.466673073,0.808529929,-3.050812326,0.002282232,0.030945046
PHOSPHO1,49.86904953,-2.760208665,0.90479999,-3.050628531,0.002283629,0.030945046
H3P31,9.285844475,-2.110746896,0.697167267,-3.027604703,0.002465003,0.032786138
ENSG00000228318,9.133659077,-3.789204188,1.254845548,-3.019657832,0.002530604,0.033281093
LYN,573.6256572,-2.018926393,0.669478071,-3.01567218,0.002564103,0.033533565
GABBR1,70.34774924,-2.029098992,0.674171622,-3.009766244,0.002614488,0.034029814
TTYH1,22.00378137,-3.588864119,1.192817144,-3.008729491,0.002623426,0.034119088
CMTM2,50.62692933,-3.103973184,1.033111996,-3.00448857,0.002660278,0.034470087
LINC02362,29.15452267,-2.1557888,0.717715494,-3.003681566,0.002667343,0.03452611
ACRBP,19.16562728,-3.331517626,1.116411578,-2.984130309,0.002843856,0.036083277
LTBR,33.38402378,-3.295461229,1.10996394,-2.96898044,0.002987896,0.037208148
FEZ1,56.9247051,-2.02453677,0.683556463,-2.961769628,0.003058765,0.037633822
ENSG00000225187,17.30889188,-2.154154101,0.730642525,-2.94830102,0.003195258,0.038830844
TNK2-AS1,31.37841364,-2.013418712,0.683284644,-2.946676367,0.003212092,0.038914586
TXNDC12-AS1,10.16852097,-3.095545141,1.055403131,-2.933045252,0.00335655,0.03995
RAB5CP1,39.85695848,-2.123733143,0.725392566,-2.92770183,0.003414773,0.040496154
NAP1L2,47.86569179,-2.251550654,0.769176235,-2.927223373,0.003420032,0.040499984
CFAP210,13.96355387,-2.746448598,0.941031918,-2.918549885,0.003516636,0.041139378
LCA5L,17.8737543,-2.246183478,0.769855605,-2.917668538,0.00352659,0.041167797
COL4A4,16.58107865,-3.046723531,1.046221152,-2.912121903,0.003589825,0.041639434
GLB1L,34.1691809,-3.290106899,1.131338353,-2.908154658,0.003635685,0.04178748
BPIFB1,130.0055519,-3.293313507,1.134739177,-2.902264745,0.003704753,0.042226466
ACTG1P17,34.65647552,-2.322422916,0.80119665,-2.898692744,0.003747219,0.042516652
BPIFB9P,11.56900722,-2.926852027,1.014543692,-2.884895003,0.003915442,0.043806512
PTAFR,144.7928896,-2.160540116,0.750530322,-2.878684647,0.003993374,0.044375933
NCF2,359.1999346,-3.149491337,1.103528772,-2.854018326,0.004317004,0.046584476
PLXNA2,15.97806684,-3.62230464,1.270824875,-2.850357049,0.004367018,0.046846967
ENSG00000278931,15.44935869,-2.251688284,0.791665532,-2.844241911,0.004451723,0.047264349
BST1,66.57884413,-2.998007268,1.056474117,-2.837747957,0.004543304,0.047689302
S100A8,9592.740764,-2.811568137,0.992566381,-2.832624791,0.004616754,0.048080448
ENSG00000267649,12.6660734,-3.076614361,1.086078041,-2.832774666,0.00461459,0.048080448
RGS17,22.47328216,-3.570510843,1.260762992,-2.832023835,0.00462544,0.04814036
