Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),24,414,0.027267338,1.95E-07,1.13E-05,16,185,0.013141071,9606,Homo sapiens,CXCL8;CCL3L1;P2RY14;C5AR1;FPR1;CXCL1;HCAR2;HCAR3;CXCL10;CXCR1;CXCR2;CCRL2;CCL4;CCL3;PROK2;CCL2;FFAR2,,R-HSA-417858;R-HSA-964811;R-HSA-375395;R-HSA-3296309;R-HSA-444527;R-HSA-443978;R-HSA-444171;R-HSA-374248;R-HSA-374251;R-HSA-373813;R-HSA-444661;R-HSA-443986;R-HSA-444691;R-HSA-373074;R-HSA-373791;R-HSA-3296301
R-HSA-168249,Innate Immune System,47,1345,0.088585918,1.29E-06,6.82E-05,150,725,0.051498792,9606,Homo sapiens,FCN1;CXCL8;TNFAIP6;SRC;NCF4;C5AR1;FPR1;CXCL1;TREM1;FCAR;CST3;HERC5;FCGR3B;CXCR1;LAMP3;CXCR2;S100A12;MAP3K8;FCGR1A;PGLYRP1;CAMP;FCER1G;JUP;ARG1;PLAUR;ISG15;FOS;LYZ;BST1;CEACAM1;TYROBP;RAB31;FCGR2A;CLEC4D;QPCT;IL1B;IRF7;SERPING1;S100P;MNDA;CD248;CLEC4E;S100A9;S100A8,,R-HSA-975118;R-HSA-936462;R-HSA-9604499;R-HSA-177671;R-HSA-2395439;R-HSA-975106;R-HSA-1222685;R-HSA-879362;R-HSA-5607750;R-HSA-450325;R-HSA-9604487;R-HSA-5621366;R-HSA-5621363;R-HSA-5621371;R-HSA-5621370;R-HSA-937022;R-HSA-2395412;R-HSA-451634;R-HSA-5621347;R-HSA-5621356;R-HSA-2272795;R-HSA-5621353;R-HSA-5621352;R-HSA-5621355;R-HSA-879411;R-HSA-5621354;R-HSA-5432849;R-HSA-166726;R-HSA-2730860;R-HSA-451649;R-HSA-2730851;R-HSA-5684250;R-HSA-6800426;R-HSA-5684248;R-HSA-9013979;R-HSA-9013978;R-HSA-6800434;R-HSA-975188;R-HSA-210271;R-HSA-210274;R-HSA-210273;R-HSA-166753;R-HSA-5684275;R-HSA-375395;R-HSA-166245;R-HSA-5684273;R-HSA-937059;R-HSA-6801687;R-HSA-2730843;R-HSA-210289;R-HSA-5684261;R-HSA-210295;R-HSA-210292;R-HSA-2730833;R-HSA-937079;R-HSA-210298;R-HSA-166271;R-HSA-936563;R-HSA-5684267;R-HSA-210300;R-HSA-2424484;R-HSA-9725206;R-HSA-2424486;R-HSA-2424487;R-HSA-6789092;R-HSA-2424480;R-HSA-2029467;R-HSA-8852481;R-HSA-210309;R-HSA-2424482;R-HSA-166792;R-HSA-166286;R-HSA-2029458;R-HSA-2029459;R-HSA-166284;R-HSA-6799350;R-HSA-2559414;R-HSA-2029455;R-HSA-2029452;R-HSA-933533;R-HSA-2029453;R-HSA-933531;R-HSA-2454192;R-HSA-2029451;R-HSA-2396594;R-HSA-2029449;R-HSA-5660622;R-HSA-933525;R-HSA-5660663;R-HSA-2730888;R-HSA-6798528;R-HSA-2730882;R-HSA-933538;R-HSA-8852266;R-HSA-2730884;R-HSA-933536;R-HSA-2730886;R-HSA-6789072;R-HSA-166072;R-HSA-2029476;R-HSA-2395801;R-HSA-2272668;R-HSA-166082;R-HSA-2201316;R-HSA-2454240;R-HSA-964811;R-HSA-2029272;R-HSA-2130151;R-HSA-2029273;R-HSA-2029270;R-HSA-166091;R-HSA-2029271;R-HSA-2029268;R-HSA-2201322;R-HSA-2272753;R-HSA-2262775;R-HSA-918232;R-HSA-166362;R-HSA-166363;R-HSA-1028821;R-HSA-918229;R-HSA-1028820;R-HSA-2262777;R-HSA-8862300;R-HSA-1028819;R-HSA-1028816;R-HSA-2197697;R-HSA-2426566;R-HSA-168166;R-HSA-168935;R-HSA-166119;R-HSA-2454208;R-HSA-168933;R-HSA-1861621;R-HSA-2426569;R-HSA-6798474;R-HSA-6798743;R-HSA-450292;R-HSA-9021306;R-HSA-6798739;R-HSA-8862320;R-HSA-6798751;R-HSA-6798749;R-HSA-2454239;R-HSA-2172123;R-HSA-6798748;R-HSA-6798747;R-HSA-6798745;R-HSA-2855125;R-HSA-2172126
R-HSA-877300,Interferon gamma signaling,16,252,0.01659751,7.48E-06,3.67E-04,2,18,0.001278591,9606,Homo sapiens,GBP5;OAS1;OAS3;IRF7;IRF8;FCGR1A;ICAM1;OASL,,R-HSA-1031716;R-HSA-1031713
R-HSA-500792,GPCR ligand binding,26,608,0.040044787,1.51E-05,6.93E-04,17,217,0.015414121,9606,Homo sapiens,FZD3;CXCL8;CCL3L1;P2RY14;C5AR1;FPR1;CXCL1;HCAR2;HCAR3;CXCL10;CXCR1;CXCR2;CCRL2;CCL4;CCL3;PROK2;CCL2;FFAR2,,R-HSA-417858;R-HSA-964811;R-HSA-375395;R-HSA-3296309;R-HSA-444527;R-HSA-443978;R-HSA-444171;R-HSA-374248;R-HSA-374251;R-HSA-201708;R-HSA-373813;R-HSA-444661;R-HSA-443986;R-HSA-444691;R-HSA-373074;R-HSA-373791;R-HSA-3296301
R-HSA-69895,Transcriptional  activation of  cell cycle inhibitor p21 ,3,6,3.95E-04,1.56E-04,0.006257824,4,5,3.55E-04,9606,Homo sapiens,CDKN1A,,R-HSA-6803411;R-HSA-6803388;R-HSA-6803403;R-HSA-6803801
R-HSA-69560,Transcriptional activation of p53 responsive genes  ,3,6,3.95E-04,1.56E-04,0.006257824,4,5,3.55E-04,9606,Homo sapiens,CDKN1A,,R-HSA-6803411;R-HSA-6803388;R-HSA-6803403;R-HSA-6803801
R-HSA-5660668,CLEC7A/inflammasome pathway,3,8,5.27E-04,3.62E-04,0.012935808,2,4,2.84E-04,9606,Homo sapiens,IL1B,,R-HSA-5660663;R-HSA-5660622
R-HSA-418594,G alpha (i) signalling events,18,426,0.028057696,3.70E-04,0.012935808,6,74,0.005256428,9606,Homo sapiens,CXCL8;SRC;CCL4L2;P2RY14;C5AR1;FPR1;CXCL1;HCAR2;HCAR3;CXCL10;CXCR1;CXCR2;CCL4,,R-HSA-8964329;R-HSA-749454;R-HSA-8964242;R-HSA-749456;R-HSA-380073;R-HSA-8964311
R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,4,20,0.001317263,3.98E-04,0.013140044,6,17,0.001207558,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-6803411;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6803403;R-HSA-6803801
R-HSA-372790,Signaling by GPCR,29,875,0.057630244,4.13E-04,0.013200483,31,392,0.027844864,9606,Homo sapiens,FZD3;CXCL8;CCL3L1;SRC;CCL4L2;P2RY14;C5AR1;FPR1;CXCL1;HCAR2;HCAR3;CXCL10;CXCR1;CXCR2;CCRL2;CCL4;CCL3;PROK2;CCL2;FFAR2;ARHGEF40,,R-HSA-749448;R-HSA-417858;R-HSA-749454;R-HSA-964811;R-HSA-749452;R-HSA-3296309;R-HSA-443978;R-HSA-444171;R-HSA-443986;R-HSA-8964252;R-HSA-444691;R-HSA-373074;R-HSA-419166;R-HSA-373791;R-HSA-8964242;R-HSA-749456;R-HSA-9624014;R-HSA-8964311;R-HSA-3296301;R-HSA-8964329;R-HSA-375395;R-HSA-444527;R-HSA-380073;R-HSA-379048;R-HSA-374248;R-HSA-374251;R-HSA-201708;R-HSA-373813;R-HSA-444661;R-HSA-8964287;R-HSA-8964278
R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,7,94,0.006191135,0.001178668,0.035360037,22,31,0.002202017,9606,Homo sapiens,HERC5;OAS1;OAS3;MX1;ISG15;IFIT1;OASL,,R-HSA-1678841;R-HSA-936462;R-HSA-8983688;R-HSA-1169395;R-HSA-1678843;R-HSA-1169394;R-HSA-1678842;R-HSA-1169397;R-HSA-1169399;R-HSA-1169398;R-HSA-8985153;R-HSA-8983680;R-HSA-1169307;R-HSA-1176059;R-HSA-1169403;R-HSA-8985091;R-HSA-1169402;R-HSA-1169405;R-HSA-8985157;R-HSA-1169404;R-HSA-1169406;R-HSA-8983671
R-HSA-8983711,OAS antiviral response,3,15,9.88E-04,0.00218742,0.063435178,6,15,0.001065492,9606,Homo sapiens,OAS1;OAS3;OASL,,R-HSA-8983688;R-HSA-8985153;R-HSA-8983680;R-HSA-8985091;R-HSA-8985157;R-HSA-8983671
R-HSA-9031628,NGF-stimulated transcription,5,56,0.003688336,0.002755347,0.07203936,14,37,0.002628214,9606,Homo sapiens,EGR2;FOS;TRIB1,,R-HSA-9031624;R-HSA-9612534;R-HSA-9613210;R-HSA-9031616;R-HSA-9613213;R-HSA-9612483;R-HSA-9613219;R-HSA-9613476;R-HSA-9621386;R-HSA-9612073;R-HSA-9621385;R-HSA-9031575;R-HSA-9612076;R-HSA-9612493
R-HSA-380994,ATF4 activates genes in response to endoplasmic reticulum  stress,4,34,0.002239347,0.002770745,0.07203936,2,7,4.97E-04,9606,Homo sapiens,CXCL8;CCL2,,R-HSA-517731;R-HSA-1791056
R-HSA-8866911,TFAP2 (AP-2) family regulates transcription of cell cycle factors,2,6,3.95E-04,0.004732612,0.11831529,3,4,2.84E-04,9606,Homo sapiens,CDKN1A,,R-HSA-8865280;R-HSA-8865244;R-HSA-8865256
R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,5,65,0.004281104,0.005144961,0.123479075,10,42,0.002983378,9606,Homo sapiens,CLN3;CDKN1A;MKRN3,,R-HSA-6803892;R-HSA-6803411;R-HSA-6803875;R-HSA-6803890;R-HSA-6803871;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6803403;R-HSA-6803801
R-HSA-381042,PERK regulates gene expression,4,42,0.002766252,0.005816387,0.1337769,2,11,7.81E-04,9606,Homo sapiens,CXCL8;CCL2,,R-HSA-517731;R-HSA-1791056
R-HSA-3296197,Hydroxycarboxylic acid-binding receptors,2,7,4.61E-04,0.006371068,0.146534565,2,3,2.13E-04,9606,Homo sapiens,HCAR2;HCAR3,,R-HSA-444661;R-HSA-3296309
R-HSA-8941855,RUNX3 regulates CDKN1A transcription,2,8,5.27E-04,0.008230392,0.181068621,3,6,4.26E-04,9606,Homo sapiens,CDKN1A,,R-HSA-8878130;R-HSA-8878178;R-HSA-8878186
R-HSA-9617828,FOXO-mediated transcription of cell cycle genes,3,27,0.001778305,0.011014673,0.231308141,5,22,0.001562722,9606,Homo sapiens,CDKN1A,,R-HSA-9617840;R-HSA-6803411;R-HSA-9618004;R-HSA-6803403;R-HSA-9617838
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),5,80,0.005269051,0.011894595,0.237891898,14,48,0.003409575,9606,Homo sapiens,EGR2;FOS;TRIB1,,R-HSA-9031624;R-HSA-9612534;R-HSA-9613210;R-HSA-9031616;R-HSA-9613213;R-HSA-9612483;R-HSA-9613219;R-HSA-9613476;R-HSA-9621386;R-HSA-9612073;R-HSA-9621385;R-HSA-9031575;R-HSA-9612076;R-HSA-9612493
R-HSA-448706,Interleukin-1 processing,2,12,7.90E-04,0.017724199,0.349781816,2,5,3.55E-04,9606,Homo sapiens,IL1B,,R-HSA-449058;R-HSA-448703
R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),5,91,0.005993545,0.019576813,0.349781816,9,22,0.001562722,9606,Homo sapiens,CDKN1A;CXCL8;IL1B;FOS,,R-HSA-3790137;R-HSA-3788745;R-HSA-4568740;R-HSA-4568737;R-HSA-3797196;R-HSA-3857308;R-HSA-3788705;R-HSA-3797202;R-HSA-3788708
R-HSA-9020702,Interleukin-1 signaling,6,125,0.008232892,0.01992637,0.349781816,24,59,0.004190936,9606,Homo sapiens,IL1RN;IL1R2;IL1B;S100A12;MAP3K8;S100P,,R-HSA-507719;R-HSA-446694;R-HSA-446692;R-HSA-168166;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-446862;R-HSA-446894;R-HSA-446701;R-HSA-5684250;R-HSA-446634;R-HSA-5684248;R-HSA-446868;R-HSA-450133;R-HSA-5684261;R-HSA-446130;R-HSA-451634;R-HSA-446684;R-HSA-445757;R-HSA-5684267;R-HSA-445752;R-HSA-446648;R-HSA-445753
R-HSA-8934903,Receptor Mediated Mitophagy,2,13,8.56E-04,0.020575401,0.349781816,3,7,4.97E-04,9606,Homo sapiens,MAP1LC3A;SRC,,R-HSA-8948143;R-HSA-8959571;R-HSA-8959573
R-HSA-6799990,Metal sequestration by antimicrobial proteins,2,13,8.56E-04,0.020575401,0.349781816,2,5,3.55E-04,9606,Homo sapiens,S100A9;S100A8,,R-HSA-6798528;R-HSA-6798474
R-HSA-166520,Signaling by NTRKs,7,166,0.010933281,0.023219958,0.394739289,21,164,0.011649382,9606,Homo sapiens,EGR2;SRC;FOS;TRIB1,,R-HSA-9031624;R-HSA-171011;R-HSA-9612534;R-HSA-9603445;R-HSA-9613210;R-HSA-9031616;R-HSA-9603419;R-HSA-170991;R-HSA-9603420;R-HSA-9613213;R-HSA-9612483;R-HSA-9613219;R-HSA-9613476;R-HSA-9621386;R-HSA-9037040;R-HSA-9612073;R-HSA-9621385;R-HSA-9031575;R-HSA-9612076;R-HSA-9612493;R-HSA-9603437
R-HSA-5668599,RHO GTPases Activate NADPH Oxidases,3,38,0.002502799,0.026874812,0.429996987,9,14,9.94E-04,9606,Homo sapiens,NCF4;S100A9;S100A8,,R-HSA-9626848;R-HSA-9626832;R-HSA-9626880;R-HSA-9626816;R-HSA-5668629;R-HSA-9626817;R-HSA-5218827;R-HSA-5218841;R-HSA-5668605
R-HSA-388396,GPCR downstream signalling,21,794,0.05229533,0.027828348,0.444844525,14,175,0.012430743,9606,Homo sapiens,CXCL8;SRC;CCL4L2;P2RY14;C5AR1;FPR1;CXCL1;HCAR2;HCAR3;CXCL10;CXCR1;CXCR2;CCL4;PROK2;FFAR2;ARHGEF40,,R-HSA-8964329;R-HSA-749448;R-HSA-749454;R-HSA-749452;R-HSA-380073;R-HSA-379048;R-HSA-8964252;R-HSA-8964287;R-HSA-419166;R-HSA-8964242;R-HSA-749456;R-HSA-9624014;R-HSA-8964278;R-HSA-8964311
R-HSA-69563,p53-Dependent G1 DNA Damage Response,4,70,0.00461042,0.031343718,0.444844525,6,22,0.001562722,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-6803411;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6803403;R-HSA-6803801
R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,4,70,0.00461042,0.031343718,0.444844525,6,22,0.001562722,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-6803411;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6803403;R-HSA-6803801
R-HSA-5619110,"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)",1,2,1.32E-04,0.033034452,0.444844525,1,1,7.10E-05,9606,Homo sapiens,LST1,,R-HSA-5661184
