Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
ENSG00000267277,31.21149266,1.473622898,0.445398982,3.308545727,0.000937819,0.025714213
ENSG00000258337,21.03379245,1.406276465,0.429689954,3.272770168,0.00106499,0.028348567
LRRC29,131.1179312,1.035092487,0.3164948,3.270488128,0.00107362,0.028526233
GAPDHP42,40.06683206,1.980669342,0.608104652,3.257119209,0.001125492,0.029057602
ENSG00000259556,29.40101243,1.204184024,0.371130384,3.244638743,0.001175997,0.029861128
ENSG00000249318,57.67252833,1.211696026,0.375011377,3.231091377,0.001233185,0.030488934
ENSG00000279738,71.48096202,1.082776597,0.337253956,3.21056752,0.001324731,0.032046198
SMG1-DT,53.30683951,1.266134604,0.394712522,3.207738627,0.00133783,0.032309486
RAB11FIP1P1,22.27170318,1.816176942,0.566909442,3.203645607,0.001356994,0.032679308
ENSG00000248787,26.10273085,1.244937959,0.394228393,3.157910441,0.001589044,0.036618294
ZNF233,62.92777479,1.515641021,0.482776662,3.13942479,0.001692799,0.037872475
HIP1,49.25305042,1.417396105,0.451213436,3.141298537,0.001682005,0.037872475
MIRLET7A1HG,55.49604042,1.135737059,0.362823762,3.130271985,0.001746445,0.038616999
ENSG00000287580,18.92878633,1.482887769,0.474306863,3.12643119,0.001769419,0.03886442
DDI2,347.1114114,1.041700815,0.334667686,3.112642361,0.001854206,0.04018179
DERA,368.8805223,1.070374756,0.344681455,3.105402805,0.001900201,0.040942727
SLC5A5,92.88425034,1.715067915,0.554426818,3.093407209,0.001978724,0.04190597
PARVA,19.75028127,2.759412293,0.892603853,3.091418757,0.001992025,0.041930255
C21orf62,20.26991305,1.750627289,0.566572065,3.089858106,0.002002521,0.041969511
BBS5,16.33610156,1.659313858,0.537220902,3.088699363,0.002010348,0.042073085
ENSG00000231128,28.24101511,1.501203528,0.488864599,3.070796149,0.002134889,0.04367295
BCL11A,79.36646405,1.663161936,0.542062443,3.068210971,0.002153445,0.043871936
XYLB,18.52306146,1.815646942,0.591960982,3.067173338,0.002160935,0.04394756
ZNF844,63.37520545,1.150497182,0.37766119,3.046373874,0.002316196,0.045534172
ENSG00000288848,39.64365358,1.373964878,0.455039168,3.019443105,0.002532399,0.048055934
LSM11,84.67367823,1.373142245,0.455640337,3.013653827,0.002581221,0.048719094
ENSG00000258526,23.07381422,1.635891551,0.543446961,3.010213819,0.002610638,0.048759772
SPDYE3,23.51920656,1.509572097,0.503031992,3.0009465,0.002691418,0.049758836
