Gene Symbol,baseMean,Log2 Fold Change,Log2 Fold Change Standard Error,Test Statistic Value,p,Adjusted P value
LARGE2,21.21916987,4.007053074,1.191400902,3.363312102,0.000770132,0.014663786
CMBL,12.23250868,5.107820922,1.539956868,3.316859731,0.000910353,0.016562589
MAP1A,81.04462379,2.30449056,0.701075946,3.287076919,0.001012332,0.017904528
ENSG00000260978,24.00328561,2.727602425,0.829972281,3.286377735,0.001014848,0.017918239
AFAP1,32.6594461,2.33073119,0.724909331,3.215203739,0.00130352,0.021610777
ESAM,138.8111221,2.069630251,0.644645604,3.21049308,0.001325075,0.021835792
MROH8,45.26627598,2.708893022,0.846455385,3.200278562,0.001372948,0.022466799
MMP11,12.5319958,5.280314267,1.659575548,3.181725757,0.001464004,0.023355912
YY2,21.23654752,2.470060882,0.77888147,3.171292393,0.001517623,0.023883742
ALKBH3-AS1,22.9327936,2.161068132,0.684085453,3.159061668,0.00158278,0.024484606
ARRDC4,17.08574843,5.58150086,1.7921494,3.114417169,0.001843087,0.027130571
LINC00951,10.03890651,5.585699389,1.802067335,3.099606368,0.00193778,0.027923481
ECI1-AS1,13.54097469,2.588045715,0.834843494,3.100036994,0.001934965,0.027923481
SORBS1,16.59070531,4.09272427,1.32460036,3.08978043,0.002003045,0.0285823
ENSG00000249685,10.76198281,2.562619282,0.830998517,3.083783221,0.002043865,0.028943874
LINC02731,17.39095149,2.817722716,0.915751837,3.07695011,0.002091303,0.029459647
CGN,13.33068044,4.919429852,1.600711157,3.073277667,0.002117214,0.029599516
ENSG00000261468,45.85613687,3.817458842,1.242859169,3.071513601,0.002129765,0.029645952
ENSG00000279884,17.5132316,2.683912241,0.877132771,3.059869986,0.002214331,0.030286511
FAM229A,12.91126861,3.042751152,0.998647361,3.046872472,0.002312358,0.031182471
DDR2,26.17654581,4.873208216,1.623687341,3.001321801,0.002688103,0.03465816
ENSG00000228366,14.75621922,2.559283272,0.854716682,2.99430598,0.002750699,0.035306609
CCDC71,23.08350446,2.898836063,0.970621443,2.986577398,0.002821194,0.036006423
BNIPL,31.89300741,2.064913017,0.692983187,2.979744758,0.002884887,0.036311076
ZNF687,64.56471859,2.360811348,0.792821184,2.977734948,0.00290387,0.036522005
ARHGAP32,87.71848114,2.071396073,0.697174746,2.971128953,0.002967072,0.037033116
PRSS37,27.49330813,3.674630054,1.238142848,2.967856302,0.002998845,0.037259683
MTUS2,15.01779128,2.620616752,0.88888626,2.948202564,0.003196276,0.038830844
FOXP3,19.01220196,4.405691113,1.497455444,2.942118331,0.003259753,0.039109892
RAB6B,71.29540536,2.355729616,0.801315952,2.939826183,0.003283964,0.039316705
ZNF404,41.39834567,4.210752717,1.432116531,2.940230509,0.003279682,0.039316705
MYOM1,74.83616712,2.133011817,0.725669228,2.939372009,0.003288781,0.039343118
CEP112,83.476959,2.522227232,0.862450524,2.924489186,0.003450221,0.040668432
ZBED8,19.24027976,4.755052736,1.627860018,2.921045228,0.003488592,0.040957265
FADS2,11.87067949,4.462851002,1.528217863,2.920297629,0.003496972,0.040997005
TOX-DT,30.87458368,2.626012162,0.902711866,2.909025861,0.003625569,0.04178748
ZKSCAN7,38.60810405,3.022737438,1.039443007,2.908035764,0.003637067,0.04178748
PPM1L-DT,27.03805961,2.749875981,0.945464418,2.908492301,0.003631761,0.04178748
HCN3,17.69857487,4.300494219,1.480608935,2.904544284,0.003677882,0.042036959
TMEM217,20.13845165,2.794248049,0.963478913,2.900165234,0.00372966,0.042363259
ENSG00000231305,16.79198177,2.347648533,0.81138568,2.893381767,0.003811177,0.042981859
ENSG00000289298,24.22031523,2.950352759,1.029760163,2.865087292,0.004168943,0.045532291
MICAL2,56.6439546,2.446994955,0.854312152,2.864286723,0.004179495,0.045610407
CCR2,17.61531316,5.01203978,1.756792405,2.852949368,0.004331552,0.046685206
CTTN-DT,11.45504837,2.887639558,1.012174102,2.852907965,0.004332117,0.046685206
ATPSCKMT,79.27987403,2.160203389,0.758174787,2.849215546,0.004382718,0.046954012
ENSG00000261535,41.32593109,2.152649968,0.757693239,2.841057379,0.004496422,0.047450886
MYT1L,17.09228411,3.7931807,1.336073082,2.839051809,0.004524781,0.04757542
ARMC9,25.39221581,3.395643585,1.202301411,2.824286451,0.004738601,0.04900735
PPP1R26P1,28.08886906,2.510826797,0.889438532,2.822934589,0.004758628,0.049152524
ENSG00000258623,9.964395365,3.124291551,1.109079771,2.817012476,0.004847264,0.049879717
